iter	RMSE
0	312.3944018
1	302.8430716
2	294.0784208
3	285.5435728
4	276.9345015
5	269.4056695
6	261.5072071
7	253.5054043
8	246.7425891
9	239.9383148
10	234.2531408
11	228.1343788
12	221.8901141
13	216.0179107
14	210.3432079
15	205.1791209
16	200.5708955
17	196.1775274
18	192.1587806
19	187.8412981
20	183.9585813
21	180.477058
22	177.0053369
23	173.6812241
24	170.5069769
25	167.7169323
26	164.8341926
27	162.1784324
28	159.8968621
29	157.7856805
30	155.3738472
31	153.788959
32	151.7978021
33	149.8525585
34	148.2258475
35	146.7944573
36	145.4276157
37	144.1287278
38	142.5072584
39	141.3080759
40	140.1816045
41	138.8720539
42	138.0931185
43	136.9864596
44	135.4255767
45	134.5388142
46	133.4939881
47	132.7155137
48	131.9512525
49	131.236903
50	130.6999557
51	130.0947396
52	129.3653053
53	128.7482342
54	128.089707
55	127.6935083
56	127.2034435
57	126.6611521
58	126.1316001
59	125.3246567
60	124.6702522
61	124.3132615
62	123.8469242
63	123.5724216
64	123.0019493
65	122.7725826
66	122.5935604
67	122.4193177
68	122.1789235
69	121.5019108
70	121.200483
71	121.0216259
72	120.3360225
73	119.9884916
74	119.5888607
75	119.0946198
76	118.551516
77	118.349862
78	117.9427143
79	117.565702
80	117.2727486
81	116.54446
82	116.0279725
83	115.5315506
84	115.009904
85	114.666277
86	114.1424192
