iter	Passed	Remaining
0	153	152967
1	153	76702
2	154	51269
3	154	38540
4	155	30870
5	155	25794
6	156	22168
7	156	19445
8	157	17323
9	157	15626
10	158	14214
11	158	13057
12	159	12078
13	159	11242
14	160	10519
15	160	9887
16	161	9326
17	161	8827
18	162	8381
19	162	7982
20	163	7616
21	163	7283
22	164	6982
23	164	6707
24	165	6452
25	165	6218
26	166	6001
27	167	5798
28	167	5610
29	168	5435
30	168	5264
31	168	5109
32	169	4964
33	169	4820
34	170	4690
35	170	4564
36	170	4449
37	171	4340
38	171	4237
39	172	4135
40	172	4043
41	173	3950
42	173	3867
43	174	3787
44	174	3711
45	175	3640
46	176	3570
47	176	3503
48	177	3438
49	177	3372
50	178	3312
51	178	3250
52	178	3193
53	179	3139
54	179	3088
55	180	3038
56	180	2992
57	181	2943
58	181	2900
59	182	2857
60	182	2816
61	183	2775
62	183	2735
63	184	2696
64	184	2660
65	185	2626
66	185	2588
67	186	2552
68	186	2519
69	187	2487
70	187	2457
71	188	2431
72	189	2402
73	189	2374
74	190	2349
75	191	2324
76	191	2299
77	192	2274
78	193	2250
79	193	2227
80	194	2205
81	195	2184
82	195	2162
83	196	2141
84	196	2119
85	197	2099
86	198	2079
